time [kyr]           k_2^{L,E}
39797.59961700291, -0.23927010352968037
40289.16864443762, -0.23925108731971967
41131.85840575424, -0.23921848810264423
41694.26281528543, -0.24209808561097745
42186.03558782683, -0.243046179507589
42748.64374246472, -0.24689288712249424
43450.88521022858, -0.24686572110826477
44013.28961975977, -0.24974531861659788
44505.87737272797, -0.25456185293949873
45068.07803715246, -0.2564743403412595
45770.52325002303, -0.25741428443360226
46192.27562089474, -0.2593322050382091
46614.23173687316, -0.26221723574938816
46755.495010852734, -0.2660802429728314
47247.471528500835, -0.2679954469760152
47529.590586246595, -0.27378724120975706
48021.97459410809, -0.27763666542608545
48233.05452465065, -0.27956273583496116
48655.214385735766, -0.2834148766527125
49006.538864724396, -0.28436840375217
49147.802138703984, -0.2882314109756131
49359.28955945993, -0.2920917015976332
49711.021528661964, -0.2949794489102353
49922.305204311226, -0.29787262942568327
50204.220516950285, -0.3026973135528529
50556.15623125902, -0.30655217097202725
50837.86779879136, -0.3104097449926245
51260.02765987648, -0.31426188581037595
51401.29093385606, -0.31812489303381897
51683.0025013884, -0.32198246705441624
51894.89741235777, -0.32777697788958116
52246.629381559804, -0.33066472520218315
52668.789242644925, -0.33451686601993447
52669.80796817843, -0.3393524165527957
52881.70287914779, -0.3451469273879606
53093.39404501046, -0.34997432811655316
53305.08521087312, -0.3548017288451456
53727.24507195824, -0.35865386966289703
54150.831148790276, -0.3692757812266543
54433.56144185612, -0.377968905780113
54575.2322060491, -0.3837661332167007
54997.59581224092, -0.38858538414102417
55139.4703215406, -0.39534972168418425
55351.36523250997, -0.40114423251934905
55633.89178046912, -0.40887024696623553
55916.62207353498, -0.417563371519694
56198.944876387424, -0.42432227586000826
56551.49182601626, -0.43107846359889934
56693.57008042265, -0.43880991124863156
56905.261246285314, -0.4436373119772241
57187.99153935117, -0.45233043653068283
57260.45688230127, -0.4629659311015548
57613.00383193011, -0.4697221188404459
57895.93787010265, -0.47938235350047687
58108.03652617872, -0.4861439744422138
58319.320201827984, -0.48903715495766176
58320.7464175749, -0.4958069257036677
58603.272965534044, -0.503532940150554
58886.20700370661, -0.513193174810585
59028.081513006284, -0.5199575123537451
59099.935620636286, -0.5276916766049002
59171.58598315958, -0.5344587307494832
59383.27714902223, -0.5392861314780757
59735.62035354437, -0.5450752091103945
60088.574793386615, -0.5537656170624302
60301.08093967608, -0.5624614582173119
60301.895920102885, -0.566329898643601
60373.54628262619, -0.573096952788184
60445.40039025619, -0.5808311170393392
60517.050752779476, -0.5875981711839222
60798.96606541852, -0.5924228553110916
61011.472211708, -0.6011186964659734
61223.57086778407, -0.6078803174077103
61365.85286729714, -0.6165788751640149
61437.29948471372, -0.6223788192020255
61649.3981407898, -0.6291404401437626
61932.12843385565, -0.6378335646972213
62214.65498181481, -0.6455595791441076
62426.95738299758, -0.653288310192417
62427.568618317695, -0.6561896405121338
62639.25978418034, -0.6610170412407264
62640.27850971385, -0.6658525917735876
62711.52138202375, -0.6706854257050261
62853.80338153682, -0.6793839834613306
63136.32992949598, -0.6871099979082169
63348.428585572045, -0.6938716188499541
63701.383025414274, -0.7025620268019896
63914.29666191716, -0.7131920881700158
64266.4361213326, -0.7180140556957624
64338.086483855885, -0.7247811098403454
64690.225943271325, -0.729603077366092
64831.89670746429, -0.7354003048026797
64973.77121676398, -0.7421646423458397
65186.27736305344, -0.7508604835007213
65398.57976423621, -0.7585892145490307
65750.92296875834, -0.7643782921813496
66033.6532618242, -0.7730714167348082
66176.13900644399, -0.782737084597685
66668.72675941218, -0.7875536189205856
66951.66079758474, -0.7972138535806166
67374.63563909667, -0.804934434824657
67657.16218705583, -0.8126604492715435
68010.11662689807, -0.821350857223579
68152.39862641116, -0.8300494149798836
68504.94557603999, -0.8368056027187748
68857.90001588222, -0.8454960106708105
69140.22281873468, -0.8522549150111245
69421.93438626704, -0.8561124890317218
69493.38100368362, -0.8619124330697325
69846.13169841917, -0.8696357309151959
69987.80246261213, -0.8754329583517837
70269.71777525119, -0.8802576424789532
70552.24432321034, -0.8879836569258396
70764.5467243931, -0.8957123879741489
71047.27701745895, -0.9044055125276076
71469.43687854409, -0.9082576533453589
71821.37259285281, -0.9121125107645331
72103.89914081196, -0.9198385252114196
72737.13893243964, -0.9256167364380465
73159.91002884487, -0.9323702075755148
73441.21410616381, -0.9342935613829675
73793.14982047255, -0.9381484188021418
74355.35048489705, -0.9400609062039027
75058.20318798101, -0.94293507050939
75550.7909409492, -0.9477516048322907
76112.5841151603, -0.947729872020907
77096.33340534978, -0.9505931699207024
77658.12657956088, -0.9505714371093188
78571.8554680807, -0.9544045617171095
79274.30068095124, -0.9553445058094522
79625.42141483318, -0.9553309228023374
80327.86662770373, -0.9562708668946801
81100.73973245738, -0.9581752044921722
81873.61283721103, -0.9600795420896642
82506.0376484119, -0.9619893128900021
83349.13489994194, -0.9638909338860713
84121.60051448218, -0.9638610512704187
84894.26987412912, -0.9647982787613385
85385.83890156382, -0.9647792625513778
86088.28411443438, -0.9657192066437205
87001.1980225274, -0.9656838908252221
87704.25447071806, -0.9695251652372816
88265.64015471573, -0.9675692122127534
89037.90202414928, -0.9665722194905286
89950.6121871356, -0.9655697935654579
91214.64682911054, -0.9655208947398447
92057.54033553386, -0.9664554056293415
92900.23009685049, -0.9664228064122661
93532.24741783796, -0.9663983569994594
94234.48888560182, -0.9663711909852299
94866.5062065893, -0.9663467415724233
95709.39971301262, -0.9672812524619201
96411.64118077648, -0.9672540864476905
97184.10679531672, -0.967224203832038
97886.75575329398, -0.969131258030953
98378.52852583537, -0.9700793519275646
99221.218287152, -0.9700467527104891
99782.60397114969, -0.9680907996859609
