------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
     93   -2.9275668519    0.8885191525   -1.4306054822   -6.1425976488    1.8872196679   -2.5960239935
     94   -2.9330249608    0.8893766166   -1.4307424847   -6.1433014170    1.8872485869   -2.5969438949
     95   -2.9384529859    0.8901961604   -1.4308670793   -6.1439903690    1.8872768972   -2.5978444298
     96   -2.9438525064    0.8909791039   -1.4309805599   -6.1446649679    1.8873046176   -2.5987262037
     97   -2.9492250094    0.8917267762   -1.4310841878   -6.1453256575    1.8873317665   -2.5995897966
     98   -2.9545718490    0.8924404740   -1.4311790935   -6.1459728636    1.8873583613   -2.6004357651
     99   -2.9598943980    0.8931214003   -1.4312664271   -6.1466069949    1.8873844188   -2.6012646435
    100   -2.9651939153    0.8937707659   -1.4313472087   -6.1472284435    1.8874099553   -2.6020769442
    101   -2.9704715601    0.8943897550   -1.4314224433   -6.1478375862    1.8874349860   -2.6028731598
    102   -2.9757285616    0.8949793184   -1.4314931113   -6.1484347850    1.8874595259   -2.6036537633
    103   -2.9809659299    0.8955406759   -1.4315600919   -6.1490203876    1.8874835893   -2.6044192094
    104   -2.9861847258    0.8960748288   -1.4316242597   -6.1495947287    1.8875071900   -2.6051699355
    105   -2.9913859078    0.8965827411   -1.4316864099   -6.1501581300    1.8875303412   -2.6059063619
    106   -2.9965704050    0.8970654077   -1.4317473158   -6.1507109010    1.8875530555   -2.6066288936
    107   -3.0017391411    0.8975237147   -1.4318077404   -6.1512533398    1.8875753452   -2.6073379200
    108   -3.0068929216    0.8979585946   -1.4318683566   -6.1517857335    1.8875972222   -2.6080338163
    109   -3.0120325469    0.8983709142   -1.4319298146   -6.1523083585    1.8876186978   -2.6087169438
    110   -3.0171587675    0.8987615156   -1.4319927535   -6.1528214813    1.8876397829   -2.6093876508
    111   -3.0222723057    0.8991312099   -1.4320577574   -6.1533253585    1.8876604881   -2.6100462730
    112   -3.0273738650    0.8994807670   -1.4321254006   -6.1538202380    1.8876808235   -2.6106931341
    113   -3.0324640758    0.8998109488   -1.4321962065   -6.1543063586    1.8877007991   -2.6113285464
    114   -3.0375435531    0.9001224979   -1.4322706781   -6.1547839507    1.8877204242   -2.6119528110
    115   -3.0426128889    0.9004160972   -1.4323492903   -6.1552532368    1.8877397079   -2.6125662189
    116   -3.0476726094    0.9006925171   -1.4324324616   -6.1557144318    1.8877586592   -2.6131690508
    117   -3.0527232795    0.9009523284   -1.4325206866   -6.1561677432    1.8877772866   -2.6137615779
    118   -3.0577653740    0.9011962150   -1.4326143256   -6.1566133713    1.8877955982   -2.6143440621
    119   -3.0627993927    0.9014247796   -1.4327137914   -6.1570515098    1.8878136021   -2.6149167567
    120   -3.0678257654    0.9016386340   -1.4328194005   -6.1574823461    1.8878313059   -2.6154799063
    121   -3.0728449059    0.9018383811   -1.4329315052   -6.1579060611    1.8878487171   -2.6160337478
    122   -3.0778572132    0.9020245633   -1.4330504001   -6.1583228299    1.8878658428   -2.6165785098
    123   -3.0828631214    0.9021977349   -1.4331764440   -6.1587328220    1.8878826901   -2.6171144139
    124   -3.0878629496    0.9023584152   -1.4333098991   -6.1591362013    1.8878992657   -2.6176416744
    125   -3.0928570504    0.9025071315   -1.4334510096   -6.1595331266    1.8879155760   -2.6181604988
    126   -3.0978457495    0.9026443848   -1.4336000517   -6.1599237515    1.8879316275   -2.6186710878
    127   -3.1028293593    0.9027706419   -1.4337572376   -6.1603082247    1.8879474262   -2.6191736361
    128   -3.1078081579    0.9028863777   -1.4339228026   -6.1606866906    1.8879629780   -2.6196683320
    129   -3.1127824381    0.9029920361   -1.4340969617   -6.1610592888    1.8879782887   -2.6201553583
    130   -3.1177524799    0.9030880686   -1.4342799128   -6.1614261548    1.8879933638   -2.6206348918
    131   -3.1227184846    0.9031748964   -1.4344718418   -6.1617874197    1.8880082088   -2.6211071042
    132   -3.1276807216    0.9032529360   -1.4346728643   -6.1621432109    1.8880228289   -2.6215721619
    133   -3.1326393976    0.9033225865   -1.4348832032   -6.1624936519    1.8880372292   -2.6220302262
    134   -3.1375947539    0.9033842386   -1.4351030047   -6.1628388624    1.8880514145   -2.6224814537
    135   -3.1425469394    0.9034382622   -1.4353323762   -6.1631789586    1.8880653896   -2.6229259964
    136   -3.1474961417    0.9034850280   -1.4355714480   -6.1635140535    1.8880791592   -2.6233640017
    137   -3.1524425797    0.9035249027   -1.4358203679   -6.1638442564    1.8880927278   -2.6237956128
    138   -3.1573864004    0.9035582161   -1.4360792221   -6.1641696739    1.8881060998   -2.6242209686
    139   -3.1623277431    0.9035853286   -1.4363481204   -6.1644904090    1.8881192794   -2.6246402042
    140   -3.1672667999    0.9036065329   -1.4366271696   -6.1648065622    1.8881322707   -2.6250534507
    141   -3.1722036737    0.9036221651   -1.4369164412   -6.1651182310    1.8881450777   -2.6254608356
