------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   4204   -6.2072904452    1.8898782122   -2.6805834096   -6.2072884095    1.8898779235   -2.6805818300
   4205   -6.2072907963    1.8898782300   -2.6805838565   -6.2072887576    1.8898779378   -2.6805822849
   4206   -6.2072911472    1.8898782478   -2.6805843150   -6.2072891054    1.8898779521   -2.6805827396
   4207   -6.2072914979    1.8898782655   -2.6805847711   -6.2072894531    1.8898779664   -2.6805831941
   4208   -6.2072918484    1.8898782832   -2.6805852308   -6.2072898007    1.8898779806   -2.6805836483
   4209   -6.2072921988    1.8898783009   -2.6805856914   -6.2072901480    1.8898779949   -2.6805841024
   4210   -6.2072925490    1.8898783186   -2.6805861417   -6.2072904952    1.8898780092   -2.6805845562
   4211   -6.2072928990    1.8898783362   -2.6805865991   -6.2072908423    1.8898780234   -2.6805850098
   4212   -6.2072932487    1.8898783538   -2.6805870637   -6.2072911891    1.8898780377   -2.6805854632
   4213   -6.2072935984    1.8898783714   -2.6805875158   -6.2072915358    1.8898780519   -2.6805859164
   4214   -6.2072939478    1.8898783890   -2.6805879613   -6.2072918824    1.8898780662   -2.6805863694
   4215   -6.2072942970    1.8898784065   -2.6805884234   -6.2072922287    1.8898780804   -2.6805868221
   4216   -6.2072946461    1.8898784241   -2.6805888706   -6.2072925750    1.8898780946   -2.6805872747
   4217   -6.2072949950    1.8898784416   -2.6805893234   -6.2072929210    1.8898781089   -2.6805877270
   4218   -6.2072953437    1.8898784590   -2.6805897704   -6.2072932669    1.8898781231   -2.6805881791
   4219   -6.2072956923    1.8898784765   -2.6805902319   -6.2072936126    1.8898781373   -2.6805886310
   4220   -6.2072960406    1.8898784939   -2.6805906824   -6.2072939582    1.8898781515   -2.6805890827
   4221   -6.2072963888    1.8898785113   -2.6805911393   -6.2072943036    1.8898781657   -2.6805895341
   4222   -6.2072967368    1.8898785287   -2.6805915970   -6.2072946488    1.8898781799   -2.6805899854
   4223   -6.2072970846    1.8898785461   -2.6805920413   -6.2072949939    1.8898781940   -2.6805904364
   4224   -6.2072974322    1.8898785635   -2.6805925042   -6.2072953388    1.8898782082   -2.6805908872
   4225   -6.2072977796    1.8898785808   -2.6805929513   -6.2072956835    1.8898782224   -2.6805913379
   4226   -6.2072981269    1.8898785981   -2.6805933973   -6.2072960281    1.8898782365   -2.6805917883
   4227   -6.2072984740    1.8898786154   -2.6805938566   -6.2072963725    1.8898782507   -2.6805922384
   4228   -6.2072988209    1.8898786326   -2.6805943008   -6.2072967167    1.8898782648   -2.6805926884
   4229   -6.2072991676    1.8898786499   -2.6805947675   -6.2072970608    1.8898782790   -2.6805931382
   4230   -6.2072995142    1.8898786671   -2.6805952079   -6.2072974047    1.8898782931   -2.6805935877
   4231   -6.2072998606    1.8898786843   -2.6805956598   -6.2072977485    1.8898783072   -2.6805940370
   4232   -6.2073002067    1.8898787014   -2.6805961002   -6.2072980921    1.8898783214   -2.6805944862
   4233   -6.2073005528    1.8898787186   -2.6805965611   -6.2072984355    1.8898783355   -2.6805949351
   4234   -6.2073008986    1.8898787357   -2.6805970052   -6.2072987788    1.8898783496   -2.6805953838
   4235   -6.2073012443    1.8898787528   -2.6805974558   -6.2072991219    1.8898783637   -2.6805958323
   4236   -6.2073015897    1.8898787699   -2.6805979247   -6.2072994649    1.8898783778   -2.6805962805
   4237   -6.2073019350    1.8898787870   -2.6805983601   -6.2072998077    1.8898783919   -2.6805967286
   4238   -6.2073022802    1.8898788040   -2.6805987997   -6.2073001503    1.8898784059   -2.6805971764
   4239   -6.2073026251    1.8898788210   -2.6805992525   -6.2073004928    1.8898784200   -2.6805976241
   4240   -6.2073029699    1.8898788380   -2.6805996926   -6.2073008351    1.8898784341   -2.6805980715
   4241   -6.2073033145    1.8898788550   -2.6806001549   -6.2073011772    1.8898784481   -2.6805985187
   4242   -6.2073036589    1.8898788720   -2.6806006022   -6.2073015192    1.8898784622   -2.6805989657
   4243   -6.2073040031    1.8898788889   -2.6806010605   -6.2073018610    1.8898784762   -2.6805994125
   4244   -6.2073043472    1.8898789058   -2.6806014983   -6.2073022027    1.8898784903   -2.6805998591
   4245   -6.2073046911    1.8898789227   -2.6806019303   -6.2073025442    1.8898785043   -2.6806003055
   4246   -6.2073050348    1.8898789396   -2.6806023914   -6.2073028855    1.8898785183   -2.6806007516
   4247   -6.2073053783    1.8898789565   -2.6806028441   -6.2073032267    1.8898785323   -2.6806011976
   4248   -6.2073057217    1.8898789733   -2.6806032831   -6.2073035677    1.8898785464   -2.6806016433
   4249   -6.2073060649    1.8898789901   -2.6806037285   -6.2073039085    1.8898785604   -2.6806020889
   4250   -6.2073064079    1.8898790069   -2.6806041866   -6.2073042492    1.8898785744   -2.6806025342
   4251   -6.2073067507    1.8898790237   -2.6806046169   -6.2073045898    1.8898785884   -2.6806029793
   4252   -6.2073070934    1.8898790404   -2.6806050747   -6.2073049301    1.8898786023   -2.6806034242
   4253   -6.2073074359    1.8898790572   -2.6806055110   -6.2073052704    1.8898786163   -2.6806038689
   4254   -6.2073077782    1.8898790739   -2.6806059636   -6.2073056104    1.8898786303   -2.6806043134
   4255   -6.2073081203    1.8898790906   -2.6806064096   -6.2073059503    1.8898786443   -2.6806047577
   4256   -6.2073084623    1.8898791072   -2.6806068578   -6.2073062900    1.8898786582   -2.6806052018
   4257   -6.2073088041    1.8898791239   -2.6806073057   -6.2073066296    1.8898786722   -2.6806056456
   4258   -6.2073091457    1.8898791405   -2.6806077446   -6.2073069690    1.8898786861   -2.6806060893
   4259   -6.2073094871    1.8898791571   -2.6806081892   -6.2073073083    1.8898787001   -2.6806065327
   4260   -6.2073098284    1.8898791737   -2.6806086312   -6.2073076474    1.8898787140   -2.6806069759
   4261   -6.2073101695    1.8898791903   -2.6806090707   -6.2073079863    1.8898787279   -2.6806074190
   4262   -6.2073105104    1.8898792069   -2.6806095311   -6.2073083251    1.8898787418   -2.6806078618
   4263   -6.2073108511    1.8898792234   -2.6806099634   -6.2073086637    1.8898787558   -2.6806083044
   4264   -6.2073111917    1.8898792399   -2.6806104140   -6.2073090022    1.8898787697   -2.6806087468
   4265   -6.2073115321    1.8898792564   -2.6806108514   -6.2073093405    1.8898787836   -2.6806091890
   4266   -6.2073118723    1.8898792729   -2.6806112815   -6.2073096786    1.8898787975   -2.6806096310
   4267   -6.2073122124    1.8898792893   -2.6806117336   -6.2073100166    1.8898788114   -2.6806100728
   4268   -6.2073125523    1.8898793058   -2.6806121905   -6.2073103544    1.8898788252   -2.6806105144
   4269   -6.2073128920    1.8898793222   -2.6806126320   -6.2073106921    1.8898788391   -2.6806109557
   4270   -6.2073132315    1.8898793386   -2.6806130700   -6.2073110296    1.8898788530   -2.6806113969
   4271   -6.2073135709    1.8898793550   -2.6806135133   -6.2073113670    1.8898788668   -2.6806118378
   4272   -6.2073139101    1.8898793713   -2.6806139449   -6.2073117042    1.8898788807   -2.6806122786
   4273   -6.2073142491    1.8898793877   -2.6806143822   -6.2073120412    1.8898788945   -2.6806127191
   4274   -6.2073145880    1.8898794040   -2.6806148313   -6.2073123781    1.8898789084   -2.6806131595
   4275   -6.2073149267    1.8898794203   -2.6806152721   -6.2073127148    1.8898789222   -2.6806135996
   4276   -6.2073152652    1.8898794366   -2.6806157223   -6.2073130514    1.8898789361   -2.6806140395
   4277   -6.2073156035    1.8898794528   -2.6806161616   -6.2073133878    1.8898789499   -2.6806144792
   4278   -6.2073159417    1.8898794691   -2.6806165990   -6.2073137240    1.8898789637   -2.6806149188
   4279   -6.2073162797    1.8898794853   -2.6806170377   -6.2073140601    1.8898789775   -2.6806153581
   4280   -6.2073166175    1.8898795015   -2.6806174719   -6.2073143960    1.8898789913   -2.6806157972
   4281   -6.2073169552    1.8898795177   -2.6806179078   -6.2073147318    1.8898790051   -2.6806162361
   4282   -6.2073172927    1.8898795339   -2.6806183572   -6.2073150674    1.8898790189   -2.6806166748
   4283   -6.2073176300    1.8898795500   -2.6806187911   -6.2073154029    1.8898790327   -2.6806171132
   4284   -6.2073179671    1.8898795662   -2.6806192244   -6.2073157382    1.8898790465   -2.6806175515
   4285   -6.2073183041    1.8898795823   -2.6806196689   -6.2073160734    1.8898790602   -2.6806179896
   4286   -6.2073186409    1.8898795984   -2.6806201189   -6.2073164083    1.8898790740   -2.6806184275
   4287   -6.2073189776    1.8898796145   -2.6806205398   -6.2073167432    1.8898790878   -2.6806188652
   4288   -6.2073193141    1.8898796305   -2.6806209870   -6.2073170779    1.8898791015   -2.6806193026
   4289   -6.2073196504    1.8898796466   -2.6806214229   -6.2073174124    1.8898791153   -2.6806197399
   4290   -6.2073199865    1.8898796626   -2.6806218594   -6.2073177468    1.8898791290   -2.6806201769
   4291   -6.2073203225    1.8898796786   -2.6806222966   -6.2073180810    1.8898791427   -2.6806206138
   4292   -6.2073206583    1.8898796946   -2.6806227407   -6.2073184150    1.8898791565   -2.6806210504
   4293   -6.2073209939    1.8898797106   -2.6806231742   -6.2073187489    1.8898791702   -2.6806214869
   4294   -6.2073213294    1.8898797265   -2.6806236150   -6.2073190827    1.8898791839   -2.6806219231
   4295   -6.2073216647    1.8898797425   -2.6806240514   -6.2073194163    1.8898791976   -2.6806223592
   4296   -6.2073219998    1.8898797584   -2.6806244751   -6.2073197497    1.8898792113   -2.6806227950
   4297   -6.2073223348    1.8898797743   -2.6806249212   -6.2073200830    1.8898792250   -2.6806232306
   4298   -6.2073226696    1.8898797902   -2.6806253519   -6.2073204161    1.8898792387   -2.6806236661
   4299   -6.2073230042    1.8898798060   -2.6806257909   -6.2073207491    1.8898792524   -2.6806241013
   4300   -6.2073233387    1.8898798219   -2.6806262207   -6.2073210819    1.8898792660   -2.6806245363
   4301   -6.2073236730    1.8898798377   -2.6806266680   -6.2073214146    1.8898792797   -2.6806249712
   4302   -6.2073240071    1.8898798535   -2.6806271125   -6.2073217471    1.8898792934   -2.6806254058
   4303   -6.2073243411    1.8898798693   -2.6806275338   -6.2073220794    1.8898793070   -2.6806258402
   4304   -6.2073246749    1.8898798851   -2.6806279877   -6.2073224116    1.8898793207   -2.6806262744
   4305   -6.2073250085    1.8898799009   -2.6806284131   -6.2073227437    1.8898793343   -2.6806267084
   4306   -6.2073253420    1.8898799166   -2.6806288393   -6.2073230756    1.8898793480   -2.6806271423
   4307   -6.2073256753    1.8898799323   -2.6806292755   -6.2073234073    1.8898793616   -2.6806275759
   4308   -6.2073260084    1.8898799480   -2.6806297128   -6.2073237389    1.8898793752   -2.6806280093
   4309   -6.2073263414    1.8898799638   -2.6806301459   -6.2073240703    1.8898793888   -2.6806284425
   4310   -6.2073266742    1.8898799794   -2.6806305776   -6.2073244016    1.8898794025   -2.6806288755
   4311   -6.2073270068    1.8898799951   -2.6806310259   -6.2073247327    1.8898794161   -2.6806293083
   4312   -6.2073273393    1.8898800107   -2.6806314587   -6.2073250637    1.8898794297   -2.6806297409
   4313   -6.2073276716    1.8898800264   -2.6806318821   -6.2073253945    1.8898794433   -2.6806301733
   4314   -6.2073280038    1.8898800420   -2.6806323197   -6.2073257251    1.8898794568   -2.6806306055
   4315   -6.2073283358    1.8898800576   -2.6806327452   -6.2073260556    1.8898794704   -2.6806310375
   4316   -6.2073286676    1.8898800731   -2.6806331796   -6.2073263860    1.8898794840   -2.6806314693
   4317   -6.2073289992    1.8898800887   -2.6806336053   -6.2073267162    1.8898794976   -2.6806319010
   4318   -6.2073293307    1.8898801042   -2.6806340489   -6.2073270462    1.8898795111   -2.6806323324
   4319   -6.2073296621    1.8898801198   -2.6806344755   -6.2073273761    1.8898795247   -2.6806327636
   4320   -6.2073299932    1.8898801353   -2.6806349029   -6.2073277059    1.8898795382   -2.6806331946
   4321   -6.2073303242    1.8898801508   -2.6806353370   -6.2073280355    1.8898795518   -2.6806336254
   4322   -6.2073306550    1.8898801662   -2.6806357547   -6.2073283649    1.8898795653   -2.6806340560
   4323   -6.2073309857    1.8898801817   -2.6806361943   -6.2073286942    1.8898795788   -2.6806344864
   4324   -6.2073313162    1.8898801971   -2.6806366325   -6.2073290233    1.8898795924   -2.6806349166
   4325   -6.2073316466    1.8898802126   -2.6806370549   -6.2073293523    1.8898796059   -2.6806353466
   4326   -6.2073319768    1.8898802280   -2.6806375056   -6.2073296811    1.8898796194   -2.6806357764
   4327   -6.2073323068    1.8898802434   -2.6806379203   -6.2073300098    1.8898796329   -2.6806362061
   4328   -6.2073326366    1.8898802587   -2.6806383520   -6.2073303383    1.8898796464   -2.6806366355
   4329   -6.2073329663    1.8898802741   -2.6806387803   -6.2073306667    1.8898796599   -2.6806370647
   4330   -6.2073332959    1.8898802894   -2.6806392144   -6.2073309949    1.8898796734   -2.6806374937
   4331   -6.2073336252    1.8898803048   -2.6806396425   -6.2073313230    1.8898796869   -2.6806379225
   4332   -6.2073339544    1.8898803201   -2.6806400768   -6.2073316509    1.8898797003   -2.6806383511
   4333   -6.2073342835    1.8898803354   -2.6806404908   -6.2073319787    1.8898797138   -2.6806387796
   4334   -6.2073346124    1.8898803507   -2.6806409319   -6.2073323063    1.8898797273   -2.6806392078
   4335   -6.2073349411    1.8898803660   -2.6806413590   -6.2073326337    1.8898797407   -2.6806396358
   4336   -6.2073352697    1.8898803812   -2.6806417960   -6.2073329611    1.8898797542   -2.6806400637
   4337   -6.2073355981    1.8898803964   -2.6806422136   -6.2073332882    1.8898797676   -2.6806404913
   4338   -6.2073359263    1.8898804117   -2.6806426295   -6.2073336152    1.8898797811   -2.6806409187
   4339   -6.2073362544    1.8898804269   -2.6806430736   -6.2073339421    1.8898797945   -2.6806413460
   4340   -6.2073365823    1.8898804420   -2.6806434959   -6.2073342688    1.8898798079   -2.6806417730
   4341   -6.2073369101    1.8898804572   -2.6806439201   -6.2073345953    1.8898798213   -2.6806421999
   4342   -6.2073372377    1.8898804724   -2.6806443583   -6.2073349218    1.8898798348   -2.6806426265
   4343   -6.2073375651    1.8898804875   -2.6806448018   -6.2073352480    1.8898798482   -2.6806430530
   4344   -6.2073378924    1.8898805026   -2.6806452006   -6.2073355741    1.8898798616   -2.6806434792
   4345   -6.2073382195    1.8898805178   -2.6806456199   -6.2073359001    1.8898798750   -2.6806439053
   4346   -6.2073385465    1.8898805329   -2.6806460540   -6.2073362259    1.8898798883   -2.6806443312
   4347   -6.2073388733    1.8898805479   -2.6806464823   -6.2073365515    1.8898799017   -2.6806447568
   4348   -6.2073391999    1.8898805630   -2.6806469140   -6.2073368771    1.8898799151   -2.6806451823
   4349   -6.2073395264    1.8898805781   -2.6806473404   -6.2073372024    1.8898799285   -2.6806456076
   4350   -6.2073398527    1.8898805931   -2.6806477646   -6.2073375276    1.8898799418   -2.6806460327
   4351   -6.2073401789    1.8898806081   -2.6806481838   -6.2073378527    1.8898799552   -2.6806464575
   4352   -6.2073405049    1.8898806231   -2.6806486161   -6.2073381776    1.8898799685   -2.6806468822
   4353   -6.2073408308    1.8898806381   -2.6806490349   -6.2073385023    1.8898799819   -2.6806473067
   4354   -6.2073411564    1.8898806531   -2.6806494553   -6.2073388270    1.8898799952   -2.6806477310
   4355   -6.2073414820    1.8898806680   -2.6806498863   -6.2073391514    1.8898800086   -2.6806481551
   4356   -6.2073418074    1.8898806830   -2.6806503104   -6.2073394757    1.8898800219   -2.6806485791
   4357   -6.2073421326    1.8898806979   -2.6806507307   -6.2073397999    1.8898800352   -2.6806490028
   4358   -6.2073424576    1.8898807128   -2.6806511682   -6.2073401239    1.8898800485   -2.6806494263
   4359   -6.2073427825    1.8898807277   -2.6806515756   -6.2073404478    1.8898800618   -2.6806498496
   4360   -6.2073431072    1.8898807426   -2.6806520065   -6.2073407715    1.8898800751   -2.6806502728
   4361   -6.2073434318    1.8898807575   -2.6806524403   -6.2073410951    1.8898800884   -2.6806506957
   4362   -6.2073437563    1.8898807723   -2.6806528535   -6.2073414185    1.8898801017   -2.6806511185
   4363   -6.2073440805    1.8898807872   -2.6806532848   -6.2073417418    1.8898801150   -2.6806515410
   4364   -6.2073444046    1.8898808020   -2.6806537019   -6.2073420649    1.8898801283   -2.6806519634
   4365   -6.2073447286    1.8898808168   -2.6806541226   -6.2073423879    1.8898801415   -2.6806523855
   4366   -6.2073450524    1.8898808316   -2.6806545502   -6.2073427107    1.8898801548   -2.6806528075
   4367   -6.2073453760    1.8898808464   -2.6806549790   -6.2073430334    1.8898801681   -2.6806532293
   4368   -6.2073456995    1.8898808612   -2.6806553912   -6.2073433559    1.8898801813   -2.6806536509
   4369   -6.2073460228    1.8898808759   -2.6806558020   -6.2073436783    1.8898801946   -2.6806540723
   4370   -6.2073463460    1.8898808907   -2.6806562382   -6.2073440005    1.8898802078   -2.6806544935
   4371   -6.2073466690    1.8898809054   -2.6806566585   -6.2073443226    1.8898802210   -2.6806549145
   4372   -6.2073469919    1.8898809201   -2.6806570690   -6.2073446446    1.8898802343   -2.6806553353
   4373   -6.2073473146    1.8898809348   -2.6806574936   -6.2073449664    1.8898802475   -2.6806557559
   4374   -6.2073476371    1.8898809495   -2.6806579237   -6.2073452880    1.8898802607   -2.6806561763
   4375   -6.2073479595    1.8898809642   -2.6806583386   -6.2073456095    1.8898802739   -2.6806565966
   4376   -6.2073482818    1.8898809788   -2.6806587564   -6.2073459309    1.8898802871   -2.6806570166
   4377   -6.2073486039    1.8898809935   -2.6806591802   -6.2073462521    1.8898803003   -2.6806574365
   4378   -6.2073489258    1.8898810081   -2.6806595983   -6.2073465731    1.8898803135   -2.6806578561
   4379   -6.2073492476    1.8898810227   -2.6806600169   -6.2073468941    1.8898803267   -2.6806582756
   4380   -6.2073495692    1.8898810373   -2.6806604450   -6.2073472148    1.8898803399   -2.6806586949
   4381   -6.2073498906    1.8898810519   -2.6806608561   -6.2073475354    1.8898803531   -2.6806591140
   4382   -6.2073502119    1.8898810665   -2.6806612951   -6.2073478559    1.8898803662   -2.6806595329
   4383   -6.2073505331    1.8898810810   -2.6806616995   -6.2073481762    1.8898803794   -2.6806599516
   4384   -6.2073508541    1.8898810956   -2.6806621113   -6.2073484964    1.8898803926   -2.6806603701
   4385   -6.2073511749    1.8898811101   -2.6806625396   -6.2073488165    1.8898804057   -2.6806607884
   4386   -6.2073514956    1.8898811246   -2.6806629458   -6.2073491364    1.8898804189   -2.6806612065
   4387   -6.2073518162    1.8898811391   -2.6806633570   -6.2073494561    1.8898804320   -2.6806616245
   4388   -6.2073521366    1.8898811536   -2.6806637853   -6.2073497757    1.8898804451   -2.6806620422
   4389   -6.2073524568    1.8898811681   -2.6806642070   -6.2073500952    1.8898804583   -2.6806624598
   4390   -6.2073527769    1.8898811825   -2.6806646193   -6.2073504145    1.8898804714   -2.6806628772
   4391   -6.2073530968    1.8898811970   -2.6806650463   -6.2073507336    1.8898804845   -2.6806632943
   4392   -6.2073534166    1.8898812114   -2.6806654553   -6.2073510526    1.8898804976   -2.6806637113
   4393   -6.2073537362    1.8898812258   -2.6806658615   -6.2073513715    1.8898805107   -2.6806641281
   4394   -6.2073540556    1.8898812403   -2.6806662979   -6.2073516902    1.8898805238   -2.6806645448
   4395   -6.2073543749    1.8898812546   -2.6806667259   -6.2073520088    1.8898805369   -2.6806649612
   4396   -6.2073546941    1.8898812690   -2.6806671277   -6.2073523273    1.8898805500   -2.6806653774
   4397   -6.2073550131    1.8898812834   -2.6806675423   -6.2073526456    1.8898805631   -2.6806657934
   4398   -6.2073553320    1.8898812977   -2.6806679610   -6.2073529637    1.8898805761   -2.6806662093
   4399   -6.2073556507    1.8898813121   -2.6806683750   -6.2073532817    1.8898805892   -2.6806666250
   4400   -6.2073559692    1.8898813264   -2.6806688084   -6.2073535996    1.8898806023   -2.6806670404
   4401   -6.2073562876    1.8898813407   -2.6806692105   -6.2073539173    1.8898806153   -2.6806674557
   4402   -6.2073566059    1.8898813550   -2.6806696235   -6.2073542349    1.8898806284   -2.6806678708
   4403   -6.2073569239    1.8898813693   -2.6806700415   -6.2073545523    1.8898806414   -2.6806682857
   4404   -6.2073572419    1.8898813836   -2.6806704527   -6.2073548696    1.8898806544   -2.6806687005
   4405   -6.2073575597    1.8898813979   -2.6806708723   -6.2073551867    1.8898806675   -2.6806691150
   4406   -6.2073578773    1.8898814121   -2.6806712886   -6.2073555037    1.8898806805   -2.6806695293
   4407   -6.2073581948    1.8898814264   -2.6806717046   -6.2073558205    1.8898806935   -2.6806699435
   4408   -6.2073585122    1.8898814406   -2.6806721146   -6.2073561372    1.8898807065   -2.6806703575
   4409   -6.2073588293    1.8898814548   -2.6806725308   -6.2073564538    1.8898807195   -2.6806707712
   4410   -6.2073591464    1.8898814690   -2.6806729443   -6.2073567702    1.8898807325   -2.6806711848
   4411   -6.2073594633    1.8898814832   -2.6806733404   -6.2073570865    1.8898807455   -2.6806715982
   4412   -6.2073597800    1.8898814974   -2.6806737552   -6.2073574026    1.8898807585   -2.6806720115
   4413   -6.2073600966    1.8898815115   -2.6806741769   -6.2073577186    1.8898807715   -2.6806724245
   4414   -6.2073604130    1.8898815257   -2.6806745937   -6.2073580345    1.8898807845   -2.6806728373
   4415   -6.2073607293    1.8898815398   -2.6806750178   -6.2073583502    1.8898807975   -2.6806732500
   4416   -6.2073610454    1.8898815539   -2.6806754133   -6.2073586657    1.8898808104   -2.6806736625
   4417   -6.2073613614    1.8898815680   -2.6806758316   -6.2073589811    1.8898808234   -2.6806740747
   4418   -6.2073616772    1.8898815822   -2.6806762517   -6.2073592964    1.8898808363   -2.6806744868
   4419   -6.2073619929    1.8898815962   -2.6806766618   -6.2073596115    1.8898808493   -2.6806748987
   4420   -6.2073623085    1.8898816103   -2.6806770711   -6.2073599265    1.8898808622   -2.6806753105
   4421   -6.2073626238    1.8898816244   -2.6806774738   -6.2073602414    1.8898808752   -2.6806757220
   4422   -6.2073629391    1.8898816384   -2.6806778971   -6.2073605561    1.8898808881   -2.6806761334
   4423   -6.2073632542    1.8898816524   -2.6806782992   -6.2073608706    1.8898809010   -2.6806765445
   4424   -6.2073635691    1.8898816665   -2.6806787012   -6.2073611851    1.8898809140   -2.6806769555
   4425   -6.2073638839    1.8898816805   -2.6806791275   -6.2073614993    1.8898809269   -2.6806773663
   4426   -6.2073641985    1.8898816945   -2.6806795300   -6.2073618135    1.8898809398   -2.6806777769
   4427   -6.2073645130    1.8898817085   -2.6806799511   -6.2073621275    1.8898809527   -2.6806781873
   4428   -6.2073648274    1.8898817224   -2.6806803428   -6.2073624413    1.8898809656   -2.6806785976
   4429   -6.2073651416    1.8898817364   -2.6806807805   -6.2073627550    1.8898809785   -2.6806790076
   4430   -6.2073654556    1.8898817504   -2.6806811741   -6.2073630686    1.8898809914   -2.6806794175
   4431   -6.2073657695    1.8898817643   -2.6806815871   -6.2073633820    1.8898810042   -2.6806798272
   4432   -6.2073660833    1.8898817782   -2.6806820015   -6.2073636953    1.8898810171   -2.6806802367
   4433   -6.2073663969    1.8898817921   -2.6806824115   -6.2073640084    1.8898810300   -2.6806806460
   4434   -6.2073667103    1.8898818060   -2.6806828112   -6.2073643214    1.8898810428   -2.6806810551
   4435   -6.2073670236    1.8898818199   -2.6806832341   -6.2073646343    1.8898810557   -2.6806814640
   4436   -6.2073673368    1.8898818338   -2.6806836260   -6.2073649470    1.8898810685   -2.6806818728
   4437   -6.2073676498    1.8898818477   -2.6806840262   -6.2073652596    1.8898810814   -2.6806822814
   4438   -6.2073679627    1.8898818615   -2.6806844502   -6.2073655720    1.8898810942   -2.6806826898
   4439   -6.2073682754    1.8898818754   -2.6806848557   -6.2073658843    1.8898811071   -2.6806830980
   4440   -6.2073685880    1.8898818892   -2.6806852642   -6.2073661965    1.8898811199   -2.6806835060
   4441   -6.2073689004    1.8898819030   -2.6806856758   -6.2073665085    1.8898811327   -2.6806839138
   4442   -6.2073692127    1.8898819168   -2.6806860634   -6.2073668204    1.8898811455   -2.6806843215
   4443   -6.2073695248    1.8898819306   -2.6806864848   -6.2073671321    1.8898811583   -2.6806847290
   4444   -6.2073698368    1.8898819444   -2.6806869068   -6.2073674437    1.8898811711   -2.6806851362
   4445   -6.2073701486    1.8898819582   -2.6806872994   -6.2073677552    1.8898811839   -2.6806855434
   4446   -6.2073704603    1.8898819719   -2.6806877081   -6.2073680665    1.8898811967   -2.6806859503
   4447   -6.2073707719    1.8898819857   -2.6806881240   -6.2073683777    1.8898812095   -2.6806863570
   4448   -6.2073710833    1.8898819994   -2.6806885201   -6.2073686887    1.8898812223   -2.6806867636
   4449   -6.2073713945    1.8898820131   -2.6806889238   -6.2073689996    1.8898812351   -2.6806871699
   4450   -6.2073717056    1.8898820268   -2.6806893293   -6.2073693103    1.8898812478   -2.6806875761
   4451   -6.2073720166    1.8898820405   -2.6806897457   -6.2073696210    1.8898812606   -2.6806879821
   4452   -6.2073723274    1.8898820542   -2.6806901370   -6.2073699314    1.8898812734   -2.6806883880
   4453   -6.2073726381    1.8898820679   -2.6806905488   -6.2073702418    1.8898812861   -2.6806887936
   4454   -6.2073729486    1.8898820816   -2.6806909539   -6.2073705520    1.8898812989   -2.6806891991
   4455   -6.2073732590    1.8898820952   -2.6806913617   -6.2073708620    1.8898813116   -2.6806896043
   4456   -6.2073735692    1.8898821089   -2.6806917753   -6.2073711719    1.8898813243   -2.6806900094
   4457   -6.2073738793    1.8898821225   -2.6806921799   -6.2073714817    1.8898813371   -2.6806904144
   4458   -6.2073741893    1.8898821361   -2.6806925845   -6.2073717914    1.8898813498   -2.6806908191
   4459   -6.2073744991    1.8898821497   -2.6806929835   -6.2073721009    1.8898813625   -2.6806912236
   4460   -6.2073748087    1.8898821634   -2.6806933890   -6.2073724102    1.8898813752   -2.6806916280
   4461   -6.2073751182    1.8898821769   -2.6806937862   -6.2073727195    1.8898813879   -2.6806920322
   4462   -6.2073754276    1.8898821905   -2.6806941903   -6.2073730285    1.8898814006   -2.6806924362
   4463   -6.2073757368    1.8898822041   -2.6806946107   -6.2073733375    1.8898814133   -2.6806928400
   4464   -6.2073760459    1.8898822176   -2.6806950049   -6.2073736463    1.8898814260   -2.6806932437
   4465   -6.2073763549    1.8898822312   -2.6806954158   -6.2073739550    1.8898814387   -2.6806936472
   4466   -6.2073766637    1.8898822447   -2.6806958101   -6.2073742635    1.8898814514   -2.6806940504
   4467   -6.2073769723    1.8898822582   -2.6806962213   -6.2073745719    1.8898814640   -2.6806944535
   4468   -6.2073772808    1.8898822717   -2.6806966133   -6.2073748801    1.8898814767   -2.6806948565
   4469   -6.2073775892    1.8898822852   -2.6806970196   -6.2073751883    1.8898814894   -2.6806952592
   4470   -6.2073778974    1.8898822987   -2.6806974160   -6.2073754962    1.8898815020   -2.6806956618
   4471   -6.2073782055    1.8898823122   -2.6806978119   -6.2073758041    1.8898815147   -2.6806960642
   4472   -6.2073785134    1.8898823257   -2.6806982348   -6.2073761118    1.8898815273   -2.6806964664
   4473   -6.2073788212    1.8898823391   -2.6806986211   -6.2073764194    1.8898815400   -2.6806968684
   4474   -6.2073791288    1.8898823526   -2.6806990256   -6.2073767268    1.8898815526   -2.6806972702
   4475   -6.2073794364    1.8898823660   -2.6806994273   -6.2073770341    1.8898815652   -2.6806976719
